Municipality;city_codes_min;city_codes_max;;;;;;;
Koebenhavn;1050;1599;;;;;;;
Frederiksberg;1600;2599;;;;;;;
Glostrup;2600;2604;;;;;;;
Broenby;2605;2609;;;;;;;
Roedovre;2610;2619;;;;;;;
Albertslund;2620;2629;;;;;;;
Hoeje Taastrup;2630;2634;;;;;;;
Ishoej;2635;2634;;;;;;;
Hvidovre;2635;2664;;;;;;;
Vallensbaek;2665;2669;;;;;;;
Greve;2670;2679;;;;;;;
Solroed;2680;2729;;;;;;;
Herlev;2730;2749;;;;;;;
Ballerup;2750;2769;;;;;;;
Taaarnby;2770;2790;;;;;;;
Dragoer;2791;2799;;;;;;;
Lyngby-Taarbaek;2800;2839;;;;;;;
Rudersdal;2840;2859;;;;;;;
Gladsaxe;2860;2919;;;;;;;
Gentofte;2920;2969;;;;;;;
Hoersholm;2970;2979;;;;;;;
Fredensborg;2980;2999;;;;;;;
Herlsingoer;3000;3199;;;;;;;
Gribskov;3200;3299;;;;;;;
Halsnaes;3300;3399;;;;;;;
Hilleroed;3400;3449;;;;;;;
Alleroed;3450;3519;;;;;;;
Furesoe;3520;3599;;;;;;;
Frederikssund;3600;3659;;;;;;;
Egedal;3660;3699;;;;;;;
Bornholm;3700;3999;;;;;;;
Roskilde;4000;4099;;;;;;;
Ringsted;4100;4179;;;;;;;
Soroe;4180;4199;;;;;;;
Slagelse;4200;4299;;;;;;;
Holbaek;4300;4329;;;;;;;
Lejre;4330;4399;;;;;;;
Kalundborg;4400;4572;;;;;;;
Odsherred;4573;4599;;;;;;;
Koege;4600;4659;;;;;;;
Stevns;4660;4689;;;;;;;
Faxe;4690;4699;;;;;;;
Naestved;4700;4759;;;;;;;
Vordingborg;4760;4799;;;;;;;
Guldborgsund;4800;4929;;;;;;;
Lolland;4930;4999;;;;;;;
Odense;5000;5299;;;;;;;
Kerteminde;5300;5399;;;;;;;
Nordfyn;5400;5499;;;;;;;
Middelfart;5500;5609;;;;;;;
Assnes;5610;5699;;;;;;;
Svendborg;5700;5749;;;;;;;
Faaborg-Midtfyn;5750;5799;;;;;;;
Nyborg;5800;5899;;;;;;;
Langeland;5900;5969;;;;;;;
aeroe;5970;5999;;;;;;;
Kolding;6000;6099;;;;;;;
Haderslev;6100;6199;;;;;;;
Aabenraa;6200;6269;;;;;;;
Toender;6270;6399;;;;;;;
Soenderborg;6400;6599;;;;;;;
Vejen;6600;6699;;;;;;;
Esbjerg;6700;6719;;;;;;;
Fanoe;6720;6799;;;;;;;
Varde;6800;6949;;;;;;;
Ringkoebing-Skjern;6950;6999;;;;;;;
Fredericia;7000;7099;;;;;;;
Vejle;7100;7199;;;;;;;
Billund;7200;7399;;;;;;;
Herning;7400;7429;;;;;;;
Ikast-Brande;7430;7499;;;;;;;
Holstebro;7500;7599;;;;;;;
Struer;7600;7619;;;;;;;
Lemvig;7620;7699;;;;;;;
Thisted;7700;7799;;;;;;;
Skive;7800;7899;;;;;;;
Morsoe;7900;7999;;;;;;;
aaarhus;8000;8299;;;;;;;
Odder;8300;8304;;;;;;;
Samsoe;8305;8381;;;;;;;
Favrskov;8382;8409;;;;;;;
Syddjurs;8410;8499;;;;;;;
Norddjurs;8500;8599;;;;;;;
Silkeborg;8600;8659;;;;;;;
Sakanderborg;8660;8699;;;;;;;
Horsens;8700;8721;;;;;;;
Hedensted;8722;8799;;;;;;;
Viborg;8800;8899;;;;;;;
Randers;8900;8999;;;;;;;
Aalborg;9000;9439;;;;;;;
Jammerbugt;9440;9499;;;;;;;
Mariagerfjord;9500;9529;;;;;;;
Rebild;9530;9599;;;;;;;
Vesthimmerland;9600;9699;;;;;;;
Broenderslev;9700;9799;;;;;;;
Hjoerring;9800;9899;;;;;;;
Frederikshavn;9900;9939;;;;;;;
Laesoe;9940;9990;;;;;;;
