"age","gender","city","event_freq","travel_willingness","importance_meet_people","age_connect","gender_connect","maintain_contact","wish_maintain_contact","event_category","Municipality","region","neighbors","ID","Latitude","Longitude"
21,"female",8000,"once a month","in_city","4","same","female, male, genderqueer","sometimes","sometimes","Food & Drink, Music, Education, Film & Media, Performing and Visual Arts, Science & Tech, Travel & Outdoor","Århus","Midtjylland","Favrskov, Odder, Skanderborg, Syddjurs","PER_1",56.0520914350355,10.2406864455206
25,"male",8000,"once a month","neighbouring","3","same","female, male","sometimes","sometimes","Health, Business, Education, Science & Tech, Sports & Fitness, Travel & Outdoor","Århus","Midtjylland","Favrskov, Odder, Skanderborg, Syddjurs","PER_2",56.1072494027126,10.0902689553719
25,"male",8000,"once a month","neighbouring","3","same","female, male","sometimes","sometimes","Health, Business, Education, Science & Tech, Sports & Fitness, Travel & Outdoor","Århus","Midtjylland","Favrskov, Odder, Skanderborg, Syddjurs","PER_3",56.2544041202984,10.3471484218204
21,"female",8000,"once a month","in_city","4","same","female, male, genderqueer","sometimes","sometimes","Food & Drink, Music, Education, Film & Media, Performing and Visual Arts, Science & Tech, Travel & Outdoor","Århus","Midtjylland","Favrskov, Odder, Skanderborg, Syddjurs","PER_4",56.0587620339606,10.2081363901434
23,"male",4681,"once a week","anywhere","2","same","female, male","sometimes","sometimes","Food & Drink, Health, Science & Tech, Sports & Fitness, Travel & Outdoor, Cars & Boats & Planes","Stevns","Sjælland","Faxe, Køge","PER_5",55.3522753636456,12.3003725748067
22,"female",4600,"once a month","region","4","same","female","sometimes","sometimes","Food & Drink, Music, Film & Media, Performing and Visual Arts","Køge","Sjælland","Faxe, Lejre, Ringsted, Roskilde, Solrød, Stevns","PER_6",55.4574598801157,12.1703984306108
20,"male",8200,"once a month","in_city","2","older","female, male","never","always","Food & Drink, Charity, Education, Performing and Visual Arts","Århus","Midtjylland","Favrskov, Odder, Skanderborg, Syddjurs","PER_7",56.1813082950838,10.0829765243006
23,"female",8240,"once a month","neighbouring","2","same","female","sometimes","sometimes","Food & Drink, Health, Music, Sports & Fitness","Århus","Midtjylland","Favrskov, Odder, Skanderborg, Syddjurs","PER_8",56.0455167151024,10.2260731570588
22,"male",8000,"once a month","neighbouring","3","older","female","never","sometimes","Food & Drink, Health, Music, Business, Film & Media","Århus","Midtjylland","Favrskov, Odder, Skanderborg, Syddjurs","PER_9",56.1099960236463,10.2240936231808
49,"female",3300,"once a month","neighbouring","2","older","female","sometimes","sometimes","Food & Drink, Health, Music, Spirituality, Travel & Outdoor","Halsnæs","Hovedstaden","Frederikssund, Gribskov, Hillerød","PER_10",55.9486078701496,12.0536003963357
