Tidsstempel,I have read and understood the above consent statement and agree to participate.,What is your age?,What is your gender?,In which city do you live in? (answer in postal code),What types of events do you enjoy attending? (Select all that apply),Which of the following categories interesst you? (Select all that apply),How often do you attend events?,How far are you willing to travel for an event?,How important is it for you to meet new people at events?,What age are the people you typically connect with?,What gender are the people you typically connect with? (Select all that apply),How often do you maintain contact with new people you connect with at events?,How often do you wish you maintained contact with new people you connected with at events?
27/05/2024 12.01.28,I agree to participate,22,Female,8000,"Networking, Performance (e.g. concerts), Retreat","Business, Charity",Once a week,"Within the area i live in (Sjælland, Jylland, Fyn, Bornholm)",5,Older than myself,Male,Sometimes,
27/05/2024 12.03.14,I agree to participate,22,Female,8000,"Attraction, Networking","Food & Drink, Health",Once a week,To neighboring cities,3,Younger than myself,"Male, Genderqueer",Sometimes,Sometimes
27/05/2024 12.25.14,I agree to participate,22,Female,9000,"Festival, Party, Performance (e.g. concerts), Retreat, Games","Food & Drink, Health, Music, Film & Media, Performing and Visual Arts, Spirituality, Travel & Outdoor",Once a week,Anywhere in Denmark,3,Same age as myself,"Female, Male",Sometimes,Sometimes
27/05/2024 12.25.57,I agree to participate,23,Female,8240,"Festival, Party, Performance (e.g. concerts)","Food & Drink, Health, Music, Sports & Fitness",Once a month,To neighboring cities,2,Same age as myself,Female,Sometimes,Sometimes
27/05/2024 12.27.07,I agree to participate,52,Female,4660,Performance (e.g. concerts),"Health, Music, Business, Film & Media, Spirituality, Sports & Fitness, Travel & Outdoor",Rarely,Anywhere in Denmark,5,Same age as myself,Female,Sometimes,Never
27/05/2024 12.30.09,I agree to participate,24,Female,8000,"Attraction, Performance (e.g. concerts), Race","Food & Drink, Music, Travel & Outdoor",Once a month,Anywhere in Denmark,5,Same age as myself,Female,Never,Never
27/05/2024 12.44.04,I agree to participate,24,Male,8381,"Party, Attraction, Performance (e.g. concerts), Race, Games","Food & Drink, Health, Music, Cars, Boats & Planes, Film & Media, Performing and Visual Arts, Science & Tech, Sports & Fitness, Travel & Outdoor",Once a month,Anywhere in Denmark,5,Same age as myself,Male,Never,Never
27/05/2024 12.47.30,I agree to participate,23,Female,8000,"Conference, Attraction, Networking, Performance (e.g. concerts), Retreat, Seminar, Games","Food & Drink, Health, Music, Education, Film & Media, Performing and Visual Arts, Spirituality, Science & Tech",Once a week,Within my city,2,Older than myself,"Female, Male",Sometimes,Sometimes
27/05/2024 12.57.42,I agree to participate,49,Female,3300,"Party, Attraction, Performance (e.g. concerts)","Food & Drink, Health, Music, Spirituality, Travel & Outdoor",Once a month,To neighboring cities,2,Older than myself,Female,Sometimes,Sometimes
27/05/2024 13.05.51,I agree to participate,25,Male,8000,"Festival, Performance (e.g. concerts), Race","Health, Business, Education, Science & Tech, Sports & Fitness, Travel & Outdoor",Once a month,To neighboring cities,3,Same age as myself,"Female, Male",Sometimes,Sometimes
27/05/2024 13.06.25,I agree to participate,26,Male,9000,"Party, Conference, Networking, Performance (e.g. concerts), Retreat, Race","Food & Drink, Music, Business, Cars, Boats & Planes, Education, Film & Media, Science & Tech, Sports & Fitness, Travel & Outdoor",Once a week,Anywhere in Denmark,4,Same age as myself,Male,Sometimes,Sometimes
27/05/2024 13.08.01,I agree to participate,23,Female,8000,"Festival, Party, Attraction, Performance (e.g. concerts)","Food & Drink, Music, Film & Media, Performing and Visual Arts, Science & Tech, Travel & Outdoor",Once a month,Anywhere in Denmark,5,Older than myself,"Female, Male",Never,Never
27/05/2024 13.14.11,I agree to participate,21,Female,8200,"Party, Conference, Performance (e.g. concerts), Retreat, Seminar, Games","Health, Music, Charity, Film & Media",Once a month,Anywhere in Denmark,5,Same age as myself,"Female, Genderqueer",Sometimes,Sometimes
27/05/2024 13.25.45,I agree to participate,49,Female,3300,"Party, Attraction, Performance (e.g. concerts)","Food & Drink, Health, Music, Performing and Visual Arts, Spirituality",Once a month,To neighboring cities,2,Older than myself,Female,Sometimes,Sometimes
27/05/2024 13.28.24,I agree to participate,22,Female,4600,"Party, Performance (e.g. concerts)","Food & Drink, Music, Film & Media, Performing and Visual Arts",Once a month,"Within the area i live in (Sjælland, Jylland, Fyn, Bornholm)",4,Same age as myself,Female,Sometimes,Sometimes
27/05/2024 13.32.05,I agree to participate,22,Female,9000,"Festival, Party, Performance (e.g. concerts), Games","Food & Drink, Music, Film & Media, Sports & Fitness",Rarely,"Within the area i live in (Sjælland, Jylland, Fyn, Bornholm)",5,Same age as myself,"Female, Male",Sometimes,Never
27/05/2024 13.40.40,I agree to participate,21,Female,8000,"Festival, Party, Attraction, Performance (e.g. concerts), Seminar, Games","Food & Drink, Music, Education, Film & Media, Performing and Visual Arts, Science & Tech, Travel & Outdoor",Once a month,Within my city,4,Same age as myself,"Female, Male, Genderqueer",Sometimes,Sometimes
27/05/2024 13.53.11,I agree to participate,19,Female,8000,"Festival, Conference, Attraction, Performance (e.g. concerts), Retreat, Seminar","Food & Drink, Music, Education, Film & Media, Performing and Visual Arts, Science & Tech, Travel & Outdoor",Multiple times a week,To neighboring cities,4,Same age as myself,Female,Sometimes,Always
27/05/2024 13.54.37,I agree to participate,22,Female,8000,"Festival, Party, Attraction, Performance (e.g. concerts), Retreat, Seminar, Games","Food & Drink, Health, Music, Charity, Education, Film & Media, Performing and Visual Arts, Spirituality, Travel & Outdoor",Once a week,"Within the area i live in (Sjælland, Jylland, Fyn, Bornholm)",2,Older than myself,"Female, Male",Sometimes,Sometimes
27/05/2024 13.56.05,I agree to participate,24,Female,2300,"Party, Conference, Networking, Performance (e.g. concerts), Seminar","Health, Charity, Education, Science & Tech",Once a month,"Within the area i live in (Sjælland, Jylland, Fyn, Bornholm)",5,Same age as myself,Female,Sometimes,Sometimes
27/05/2024 14.15.07,I agree to participate,22,Genderqueer,7830,"Festival, Party, Attraction, Performance (e.g. concerts), Retreat, Race, Games","Food & Drink, Health, Music, Charity, Film & Media, Performing and Visual Arts, Spirituality, Science & Tech, Sports & Fitness, Travel & Outdoor",Rarely,"Within the area i live in (Sjælland, Jylland, Fyn, Bornholm)",3,Same age as myself,"Female, Genderqueer, Other",Never,Always
27/05/2024 14.17.12,I agree to participate,51,Female,4690,"Festival, Party, Attraction, Performance (e.g. concerts), Retreat","Food & Drink, Music, Film & Media, Travel & Outdoor",Rarely,Anywhere in Denmark,5,Same age as myself,"Female, Male",Never,Never
27/05/2024 14.34.57,I agree to participate,18,Female,8200,"Festival, Party, Networking, Performance (e.g. concerts), Retreat, Games","Food & Drink, Health, Music, Education, Film & Media, Performing and Visual Arts, Science & Tech, Sports & Fitness, Travel & Outdoor",Once a week,Within my city,3,Same age as myself,Female,Never,Sometimes
27/05/2024 14.41.43,I agree to participate,27,Male,9000,"Festival, Party, Conference, Attraction, Networking, Performance (e.g. concerts), Seminar, Games","Food & Drink, Science & Tech, Travel & Outdoor",Once a month,"Within the area i live in (Sjælland, Jylland, Fyn, Bornholm)",4,Same age as myself,Male,Sometimes,Sometimes
27/05/2024 15.01.42,I agree to participate,23,Female,8000,"Festival, Party, Attraction, Performance (e.g. concerts), Retreat","Food & Drink, Health, Music, Film & Media, Performing and Visual Arts, Science & Tech, Sports & Fitness, Travel & Outdoor",Once a month,Within my city,4,Same age as myself,Female,Never,Sometimes
27/05/2024 15.29.39,I agree to participate,20,Male,8200,"Party, Conference, Networking, Games","Food & Drink, Charity, Education, Performing and Visual Arts",Once a month,Within my city,2,Older than myself,"Female, Male",Never,Always
27/05/2024 15.51.36,I agree to participate,21,Female,8000,"Party, Attraction, Performance (e.g. concerts), Retreat","Food & Drink, Music, Performing and Visual Arts",Once a month,To neighboring cities,3,Same age as myself,"Female, Genderqueer",Sometimes,Sometimes
27/05/2024 15.57.02,I agree to participate,23,Female,8200,"Party, Performance (e.g. concerts), Retreat, Games","Food & Drink, Health, Music, Cars, Boats & Planes, Spirituality, Science & Tech, Sports & Fitness, Travel & Outdoor",Once a week,Within my city,3,Same age as myself,"Female, Male",Sometimes,Sometimes
27/05/2024 16.13.32,I agree to participate,23,Female,8210,"Festival, Party, Attraction, Performance (e.g. concerts), Retreat, Seminar, Games","Food & Drink, Health, Music, Charity, Education, Film & Media, Performing and Visual Arts, Travel & Outdoor",Once a week,Within my city,3,Same age as myself,"Female, Genderqueer",Sometimes,Sometimes
27/05/2024 17.03.44,I agree to participate,23,Female,8240,"Conference, Attraction, Performance (e.g. concerts), Retreat","Music, Education, Film & Media, Performing and Visual Arts, Science & Tech, Travel & Outdoor",Rarely,Anywhere in Denmark,4,Same age as myself,"Female, Male",Sometimes,Sometimes
27/05/2024 17.08.41,I agree to participate,26,Male,9000,"Festival, Party, Attraction, Networking, Performance (e.g. concerts), Retreat, Games","Food & Drink, Music, Charity, Education, Film & Media, Performing and Visual Arts, Spirituality, Sports & Fitness, Travel & Outdoor",Once a week,Anywhere in Denmark,2,Same age as myself,"Female, Male, Genderqueer, Other",Sometimes,Sometimes
27/05/2024 17.20.31,I agree to participate,20,Female,8260,"Festival, Party, Conference, Performance (e.g. concerts), Seminar, Games","Food & Drink, Music, Charity, Education, Sports & Fitness",Once a week,Anywhere in Denmark,4,Same age as myself,"Female, Genderqueer",Sometimes,Sometimes
27/05/2024 17.31.51,I agree to participate,60,Male,4660,"Conference, Attraction, Performance (e.g. concerts)","Food & Drink, Education, Science & Tech, Sports & Fitness, Travel & Outdoor",Rarely,Anywhere in Denmark,4,Same age as myself,"Female, Male",Sometimes,Sometimes
27/05/2024 17.32.27,I agree to participate,23,Male,4681,"Festival, Party, Performance (e.g. concerts)","Food & Drink, Health, Cars, Boats & Planes, Science & Tech, Sports & Fitness, Travel & Outdoor",Once a week,Anywhere in Denmark,2,Same age as myself,"Female, Male",Sometimes,Sometimes
27/05/2024 17.38.29,I agree to participate,24,Female,2650,"Party, Performance (e.g. concerts), Retreat, Seminar","Food & Drink, Charity, Film & Media, Travel & Outdoor",Rarely,Anywhere in Denmark,3,Older than myself,Female,Never,Sometimes
27/05/2024 17.45.19,I agree to participate,25,Male,8200,"Festival, Party","Food & Drink, Film & Media, Performing and Visual Arts",Once a month,Anywhere in Denmark,5,Same age as myself,Male,Sometimes,Sometimes
27/05/2024 17.49.16,I agree to participate,23,Female,8000,"Party, Networking, Retreat, Race","Food & Drink, Health, Music, Charity, Education, Film & Media, Performing and Visual Arts, Science & Tech, Sports & Fitness, Travel & Outdoor",Once a month,Within my city,4,Same age as myself,"Female, Male",Sometimes,Sometimes
27/05/2024 18.23.41,I agree to participate,58,Female,24850,Performance (e.g. concerts),"Music, Education",Rarely,Anywhere in Denmark,3,Same age as myself,Other,Sometimes,Sometimes
27/05/2024 20.25.58,I agree to participate,23,Male,1310,"Festival, Party, Conference","Food & Drink, Health, Music, Film & Media, Science & Tech, Sports & Fitness, Travel & Outdoor",Once a month,To neighboring cities,5,Same age as myself,Male,Never,Never
